Date; Value
2022-03-01;0.2759
2022-02-01;0.1839
2022-01-01;0.1074
2021-12-01;0.1163
2021-11-01;0.1072
2021-10-01;0.0573
2021-09-01;0.0373
2021-08-01;0.0308
2021-07-01;0.0338
2021-06-01;0.0337
2021-05-01;0.0373
2021-04-01;0.0415
2021-03-01;0.0505
2021-02-01;0.0479
2021-01-01;0.0434
2020-12-01;0.0454
2020-11-01;0.0401
2020-10-01;0.0445
2020-09-01;0.0559
2020-08-01;0.0729
2020-07-01;0.0798
2020-06-01;0.1027
2020-05-01;0.1271
2020-04-01;0.1788
2020-03-01;0.1827
2020-02-01;0.0455
2020-01-01;0.0499
2019-12-01;0.0642
2019-11-01;0.0647
2019-10-01;0.0601
2019-09-01;0.072
2019-08-01;0.0874
2019-07-01;0.0838
2019-06-01;0.0879
2019-05-01;0.0844
2019-04-01;0.0781
2019-03-01;0.0935
2019-02-01;0.1117
2019-01-01;0.1145
2018-12-01;0.1353
2018-11-01;0.1428
2018-10-01;0.1492
2018-09-01;0.1426
2018-08-01;0.1381
2018-07-01;0.1266
2018-06-01;0.1396
2018-05-01;0.0891
2018-04-01;0.0708
2018-03-01;0.0708
2018-02-01;0.0666
2018-01-01;0.0715
2017-12-01;0.0755
2017-11-01;0.0683
2017-10-01;0.0636
2017-09-01;0.0655
2017-08-01;0.0794
2017-07-01;0.0941
2017-06-01;0.1096
2017-05-01;0.1227
2017-04-01;0.1528
2017-03-01;0.1762
2017-02-01;0.1776
2017-01-01;0.1445
2016-12-01;0.1348
2016-11-01;0.1153
2016-10-01;0.0941
2016-09-01;0.0993
2016-08-01;0.1006
2016-07-01;0.1235
2016-06-01;0.1245
2016-05-01;0.1095
2016-04-01;0.1286
2016-03-01;0.1225
2016-02-01;0.1239
2016-01-01;0.1066
2015-12-01;0.1077
2015-11-01;0.109
2015-10-01;0.1059
2015-09-01;0.1274
2015-08-01;0.155
2015-07-01;0.1702
2015-06-01;0.1634
2015-05-01;0.151
2015-04-01;0.1382
2015-03-01;0.1467
2015-02-01;0.1546
2015-01-01;0.1662
2014-12-01;0.1338
2014-11-01;0.1292
2014-10-01;0.1374
2014-09-01;0.1082
2014-08-01;0.1242
2014-07-01;0.1151
2014-06-01;0.1284
2014-05-01;0.1327
2014-04-01;0.1234
2014-03-01;0.1441
2014-02-01;0.1447
2014-01-01;0.1639
2013-12-01;0.1779
2013-11-01;0.1816
2013-10-01;0.2281
2013-09-01;0.2543
2013-08-01;0.2452
2013-07-01;0.2878
2013-06-01;0.3048
2013-05-01;0.2594
2013-04-01;0.2893
2013-03-01;0.3099
2013-02-01;0.3123
2013-01-01;0.3279
2012-12-01;0.3586
2012-11-01;0.3761
2012-10-01;0.4073
2012-09-01;0.4525
2012-08-01;0.4553
2012-07-01;0.5155
2012-06-01;0.5268
2012-05-01;0.5133
2012-04-01;0.5008
2012-03-01;0.5026
2012-02-01;0.5464
2012-01-01;0.6274
2011-12-01;0.6228
2011-11-01;0.6341
2011-10-01;0.5829
2011-09-01;0.5662
2011-08-01;0.5277
2011-07-01;0.5196
2011-06-01;0.4473
2011-05-01;0.4387
2011-04-01;0.4444
2011-03-01;0.4535
2011-02-01;0.4371
2011-01-01;0.48
2010-12-01;0.4564
2010-11-01;0.4673
2010-10-01;0.4229
2010-09-01;0.431
2010-08-01;0.4101
2010-07-01;0.4153
2010-06-01;0.4184
2010-05-01;0.377
2010-04-01;0.2722
2010-03-01;0.2532
2010-02-01;0.2439
2010-01-01;0.2454
2009-12-01;0.2552
2009-11-01;0.2229
2009-10-01;0.2482
2009-09-01;0.2401
2009-08-01;0.3057
2009-07-01;0.3169
2009-06-01;0.4076
2009-05-01;0.3997
2009-04-01;0.3777
2009-03-01;0.4596
2009-02-01;0.4473
2009-01-01;0.4508
2008-12-01;0.4347
2008-11-01;0.4686
2008-10-01;0.5287
2008-09-01;0.4574
2008-08-01;0.3371
2008-07-01;0.3945
2008-06-01;0.4105
2008-05-01;0.4033
2008-04-01;0.3791
2008-03-01;0.3779
2008-02-01;0.3593
2008-01-01;0.2795
2007-12-01;0.2487
2007-11-01;0.2467
2007-10-01;0.2205
2007-09-01;0.2019
2007-08-01;0.187
2007-07-01;0.1229
2007-06-01;0.0925
2007-05-01;0.065
2007-04-01;0.0502
2007-03-01;0.0485
2007-02-01;0.0464
2007-01-01;0.0624
2006-12-01;0.059
2006-11-01;0.0696
2006-10-01;0.0714
2006-09-01;0.0718
2006-08-01;0.0658
2006-07-01;0.0868
2006-06-01;0.082
2006-05-01;0.0722
2006-04-01;0.0511
2006-03-01;0.0518
2006-02-01;0.0365
2006-01-01;0.0381
2005-12-01;0.0393
2005-11-01;0.0606
2005-10-01;0.0344
2005-09-01;0.031
2005-08-01;0.03
2005-07-01;0.0349
2005-06-01;0.0493
2005-05-01;0.037
2005-04-01;0.0427
2005-03-01;0.0486
2005-02-01;0.0446
2005-01-01;0.0475
2004-12-01;0.06
2004-11-01;0.063
2004-10-01;0.0549
2004-09-01;0.0593
2004-08-01;0.0656
2004-07-01;0.0714
2004-06-01;0.0688
2004-05-01;0.0743
2004-04-01;0.0636
2004-03-01;0.0857
2004-02-01;0.0623
2004-01-01;0.0938
2003-12-01;0.0762
2003-11-01;0.1072
2003-10-01;0.0956
2003-09-01;0.1093
2003-08-01;0.0966
2003-07-01;0.1116
2003-06-01;0.1068
2003-05-01;0.0678
2003-04-01;0.0797
2003-03-01;0.0807
2003-02-01;0.0444
2003-01-01;0.0416
2002-12-01;0.0386
2002-11-01;0.0669
2002-10-01;0.0916
2002-09-01;0.0764
2002-08-01;0.094
2002-07-01;0.0701
2002-06-01;0.0609
2002-05-01;0.0461
2002-04-01;0.0594
2002-03-01;0.0539
2002-02-01;0.0827
2002-01-01;0.1101
2001-12-01;0.1082
2001-11-01;0.0834
2001-10-01;0.0468
2001-09-01;0.0634
2001-08-01;0.031
2001-07-01;0.0291
2001-06-01;0.0436
2001-05-01;0.0522
2001-04-01;0.0564
2001-03-01;0.042
2001-02-01;0.0412
2001-01-01;0.0545
2000-12-01;0.0464
2000-11-01;0.057
2000-10-01;0.07
2000-09-01;0.0643
